TDS,TDS Duration,Vrot,Vrot Width,AzShear,TDS Height,TDS Width,Peak Wind,Min CC,Beam Height,Path Length,Path Width,tag
1,12,77.8,0.35,0.123,16,2.1,140,0.21,1.643304409,8.6,800,20110524_1931_OKCaddo_ktlx
1,106,132,0.32,0.229,41.3,2,210,0.21,1.358458071,63.1,1760,20110524_1950_OKCanadian_ktlx
1,37,116.7,0.37,0.175,33.7,1.9,190,0.21,0.962053259,33.3,880,20110524_2106_OKGrady_ktlx
1,36,104.7,0.29,0.201,31,1.4,200,0.25,0.844070571,23.1,880,20110524_2126_OKGrady_ktlx
1,9,57.8,0.42,0.076,13.3,1.2,130,0.45,1.08719643,10.4,880,20110524_2150_OKPayne_ktlx
1,9,24.8,1.18,0.012,10.7,1.5,130,,2.430737838,0.49,50,20110827_0255_NCTyrrell_kakq
1,14,33.5,0.24,0.078,4.8,0.4,95,,0.091667016,1.64,100,20111222_2316_GAFayette_KFFC
1,14,43.7,0.54,0.045,2.4,0.9,90,,0.141491731,1.07,100,20111223_2244_GACoweta_KFFC
0,,23.8,0.59,0.022,,,95,,0.804214754,3.3,75,20120222_0312_GAFloyd_KFFC
1,19,72.3,0.52,0.077,18.6,2.3,125,0.21,0.447659771,9.5,100,20120229_0458_MOPolk_ksgf
1,10,40.3,0.36,0.062,9.5,0.8,120,0.37,1.02403836,1.7,400,20120229_0542_MOBarry_ksgf
1,32,53,0.34,0.087,10.2,1.2,130,0.48,0.899880838,24.29,400,20120229_0613_MOStone_ksgf
1,4,59.8,0.55,0.06,8.6,1.3,135,0.69,2.635297166,31.88,800,20120229_0755_MOMadison_klsx
1,10,42.8,0.79,0.03,15,1.6,125,0.52,2.270813956,6.18,300,20120229_2130_TNCumberland_kohx
1,19,76.9,0.4,0.107,18.5,1.2,105,,0.416555036,18.9,700,20120302_0315_ALPerry_KBMX
1,52,61.2,0.26,0.131,18.2,1,140,0.3,1.144477293,33.99,250,20120302_1410_ALLimestone_khtx
1,10,47.1,0.33,0.079,9.8,0.9,130,0.22,0.528473629,7.26,220,20120302_1506_ALMadison_khtx
1,15,64.7,0.31,0.116,17,1.4,165,0.44,1.246639133,41,400,20120302_1641_TNHamilton_khtx
1,14,52.6,0.97,0.03,17.4,1.6,130,0.45,1.999742298,14.31,400,20120302_1747_TNMonroe_kmrx
1,19,58.6,0.44,0.074,13,1.5,125,0.52,1.435860002,3.7,880,20120302_2226_TNJackson_kohx
1,14,68.9,0.49,0.078,13,1.6,130,0.51,1.48620164,6.94,400,20120302_2233_TNOverton_kohx
1,14,42.9,0.61,0.039,9.3,1.2,120,0.6,2.563835326,21.5,400,20120302_2344_NCCherokee_kmrx
1,14,81.9,0.33,0.138,16.3,1.3,165,0.32,1.268081356,29.02,200,20120303_0009_GAHaralson_kffc
1,18,61.2,0.35,0.097,4.5,0.6,120,0.44,0.63401088,2.6,250,20120303_0026_TNClaiborne_kmrx
1,14,55.4,0.42,0.073,13.5,0.6,125,0.28,0.665722663,28.25,700,20120303_0301_ALChilton_kbmx
1,37,63.2,0.49,0.072,17.1,1.5,125,0.27,0.45646506,34.04,1000,20120303_0340_ALTallapoosa_kmxx
1,32,100.2,0.67,0.083,25,2.1,140,0.2,0.67061399,48.02,1720,20120415_0027_KSKiowa_kddc
1,33,102.7,0.57,0.1,16.9,1.9,140,0.52,1.444581199,39.67,2640,20120415_0110_KSStafford_kddc
1,28,59.5,0.55,0.06,19.8,2.3,165,0.33,3.16882952,34,400,20120415_0342_OKEllis_kvnx
1,22,53,0.47,0.063,22.2,1.8,135,0.35,1.635722697,6.73,440,20120504_0040_IAHenry_kdvn
1,38,56.6,0.33,0.095,17.4,1.7,166,0.21,0.915199876,9.72,100,20120519_2216_KSHarper_kvnx
1,21,52,0.34,0.085,5.3,0.6,136,0.21,0.747487236,9.68,150,20120519_2233_KSHarper_kvnx
1,23,38.4,0.75,0.028,13.4,1.2,120,0.32,1.037879248,6.22,150,20120624_2304_FLPolk_ktbw
1,9,52.9,0.6,0.049,4.5,0.6,75,,0.250689984,3.2,100,20120824_0143_MNCarver_KMPX
1,9,32.5,0.85,0.021,5.5,1.2,85,,0.430860125,0.52,150,20121001_0947_ALCoosa_KBMX
1,10,28.7,1.63,0.01,3.9,0.7,83,,0.307777537,1.96,100,20121001_2207_TNWilson_KOHX
1,14,24.8,0.65,0.021,5.1,1.1,90,,0.307943292,1.47,150,20121001_2231_TNSmith_KOHX
1,14,43.7,0.31,0.078,3.1,0.9,65,,0.132678544,0.25,200,20121015_0518_ALJefferson_KBMX
0,,37.9,0.81,0.026,,,65,,0.564922401,1.05,15,20121217_1848_GATelfair_KJGX
1,9,22.3,1.56,0.008,8.3,1.8,90,,0.846788522,0.72,100,20121225_0429_ALMontgomery_KBMX
0,,39.8,2.08,0.011,,,105,,0.589226439,4.2,400,20130129_2134_ARWashington_KSRX
0,,42.7,0.92,0.026,,,80,,0.394333001,2.12,100,20130130_0536_KYCalloway_KPAH
0,,25.3,1.59,0.009,,,90,,0.900778593,0.37,75,20130130_0647_INOrange_KIND
0,,18.1,1.54,0.007,,,85,,0.410139299,7.25,100,20130130_0845_TNDickson_KOHX
1,9,54.4,1.52,0.02,3.8,0.3,100,,0.185060471,5.75,150,20130130_0905_TNRobertson_KOHX
0,,29.9,1.95,0.009,,,104,,0.623945219,0.34,50,20130130_0949_KYBarren_KOHX
0,,20.9,1.21,0.01,,,81,,0.498199362,1.53,75,20130130_1001_TNMacon_KOHX
0,,45.7,1.48,0.017,,,75,,0.455265969,6.65,200,20130130_1029_TNCannon_KOHX
1,14,71.4,0.43,0.092,20.6,3.7,160,0.2,1.847767076,21.78,900,20130130_1512_GABartow_kffc
1,9,54.9,0.52,0.059,12.3,1,120,0.67,1.237699079,18.13,400,20130210_2123_MSMarion_klix
1,14,90.1,0.53,0.094,25.4,1.6,170,0.27,1.753622292,21.65,1320,20130210_2203_MSLamar_klix
0,,38.9,1.14,0.019,,,88,,0.777903216,0.91,80,20130210_2326_ALClarke_KMOB
1,5,40.3,1.23,0.018,4,0.6,120,0.87,1.498663389,6.27,400,20130222_0331_MSJefferson Davis_kdgx
1,28,63.1,0.51,0.069,6.6,0.9,120,0.21,0.277200102,13.34,300,20130318_2110_GAMeriwether_kffc
1,25,64.6,0.44,0.082,13.2,1.3,135,0.53,1.073631155,17.26,800,20130410_2020_ARVan Buren_klzk
0,,23.8,1.39,0.01,,,85,,0.251714134,0.25,50,20130411_0108_MOSt Louis City_KLSX
1,96,76.7,0.71,0.088,22.6,2.5,145,0.2,1.964750159,66.35,1320,20130411_1635_MSKemper_kdgx
1,14,40.8,0.59,0.038,11.6,0.9,120,0.64,0.045324613,5.09,200,20130412_0134_ALMacon_kmxx
1,8,54,0.39,0.077,8.2,0.7,125,0.41,1.084627542,8,800,20130418_0530_OKDelaware_kinx
1,5,25.7,0.66,0.022,3.2,0.5,107,,0.361795516,3.5,350,20130418_0607_OKMayes_KINX
1,9,24.3,0.77,0.018,4,0.4,115,0.83,1.069346537,11.04,175,20130419_1612_GANewton_kffc
1,23,26.2,0.41,0.036,3.2,0.5,85,,0.11889193,0.14,50,20130428_1730_GACoweta_KFFC
1,9,22.3,1.46,0.008,4.9,1.1,80,,0.940876468,0.14,20,20130510_0014_INVigo_KIND
1,14,19.4,2.2,0.005,4.8,1.4,80,,0.834615138,0.15,20,20130510_0024_INVigo_KIND
1,12,61.7,0.51,0.067,5.3,0.7,70,,0.218384372,0.19,30,20130515_0119_TXJohnson_KFWS
1,13,63.6,0.9,0.039,3.3,1.2,94,,0.153075971,1.28,400,20130515_0245_TXJohnson_KFWS
1,13,78.5,0.27,0.162,17.1,0.8,180,0.25,0.537657131,2.5,400,20130515_2358_TXHood_kfws
1,13,61.7,0.38,0.09,10.9,0.6,140,0.2,0.448639671,7.79,1733,20130516_0112_TXJohnson_kfws
1,23,81.6,0.25,0.181,28.5,0.9,185,0.53,0.772820774,7,1100,20130518_2318_KSPawnee_kddc
0,,31.1,2.11,0.008,,,97,,0.63932158,0.5,100,20130519_0506_MOJasper_KSGF
1,18,79.2,0.31,0.142,5.4,0.5,130,0.21,0.093338758,4.61,300,20130519_1937_KSSedgwick_kict
1,55,86,0.35,0.137,24,1.7,165,0.21,0.456142122,20.84,1200,20130519_2041_OKOklahoma_ktlx
0,,33.5,1.25,0.015,,,108,,0.198166475,0.54,200,20130519_2133_OKOklahoma_KTLX
0,,29.6,0.68,0.024,,,90,,0.879446746,0.23,25,20130519_2151_NEGreeley_KUEX
1,56,113.5,0.28,0.225,30.2,1.9,190,0.2,0.085018779,23,1500,20130519_2200_OKCleveland_ktlx
1,13,48.1,0.58,0.046,6.7,0.7,122,0.56,0.537458854,7.25,450,20130519_2259_OKPottawatomie_ktlx
1,9,42.7,0.99,0.024,2.3,0.2,94,,0.10347238,1.43,100,20130519_2345_IADallas_KDMX
0,,45.7,0.62,0.041,,,80,,0.918753343,1.08,100,20130520_0025_TXMills_KDYX
1,59,125.9,0.35,0.2,31.9,2.9,201,0.21,0.348840688,13.85,1900,20130520_1856_OKMcClain_ktlx
1,17,42.3,1.09,0.022,5.7,1,107,,0.343319848,6.5,500,20130520_2051_OKOsage_KINX
1,13,51,0.26,0.109,5.4,0.7,97,,0.274919684,6,500,20130520_2133_OKWashington_KINX
1,5,47.2,0.66,0.04,6.7,1.3,118,0.53,1.428227941,10,800,20130520_2225_OKOttawa_kinx
1,5,48.1,2.12,0.013,7.2,1.8,107,,0.846566308,9.31,600,20130520_2332_OKWyandot_KINX
0,,26.2,1.56,0.009,,,107,,0.523828246,2.5,300,20130520_2335_OKAdair_KSRX
0,,12.1,0.96,0.007,,,93,,0.806554332,0.8,270,20130521_0024_ARBenton_KSGF
1,5,26.2,0.93,0.016,2.2,1.2,85,,0.14250592,8.5,500,20130521_0144_OKLe Flore_KSRX
1,18,103,0.35,0.163,9.9,1.6,140,0.21,0.633648463,5.74,1580,20130527_2304_KSSmith_kuex
1,14,64.7,0.46,0.078,6.1,1.2,115,0.2,0.408237173,4.47,250,20130527_2332_NEClay_kuex
1,25,76.3,0.36,0.118,15,1.1,150,0.32,1.02283982,4.4,900,20130528_2016_KSNemaha_ktwx
1,39,84,0.57,0.082,16.1,2.7,150,0.35,2.17216202,2.33,1000,20130528_2145_KSOttawa_ktwx
1,17,44.7,0.57,0.044,8.8,1.1,115,0.2,0.31868702,5.1,500,20130529_0030_MIGenesee_kdtx
0,,30.1,1.14,0.015,,,80,,0.606682217,0.74,60,20130529_0047_MIShiawassee_KDTX
1,22,38.9,0.74,0.029,9.9,0.6,130,0.23,0.239378373,4.61,300,20130529_0054_MIGenesee_kdtx
1,6,25.3,1.51,0.009,9.5,0.9,98,,1.181441246,1.69,50,20130529_2335_PAErie_KPBZ
0,,41.6,0.66,0.035,,,93,,0.215689852,2.1,200,20130530_0024_OKMayes_KINX
1,8,47.1,0.42,0.062,8.5,0.6,130,0.76,1.325295856,3.37,400,20130530_1900_ARMontgomery_ksrx
1,17,47.6,0.75,0.035,15,1.6,125,0.49,2.176617967,9,300,20130530_1916_ARPike_klzk
1,14,41.8,1.12,0.021,11,1.1,125,0.56,1.602261786,8.6,800,20130530_2035_OKMcCurtain_ksrx
1,17,37.4,0.58,0.036,7.3,1.6,94,,1.113284807,1.48,300,20130530_2003_ARPike_KSRX
1,17,55.4,1.02,0.03,10.2,1.3,105,,0.730955854,8.7,300,20130530_2035_ARGarland_KLZK
1,14,33,1.1,0.017,3.9,1.5,107,,1.829389828,3.96,150,20130530_2144_ILWashington_KILX
1,9,50,0.72,0.039,1.7,0.5,97,,0.160081615,1.13,300,20130531_0023_OKOklahoma_KTLX
1,21,47.1,0.22,0.119,9.8,1,135,0.23,0.26243237,5.6,450,20130531_0040_OKTulsa_kinx
1,14,36.9,0.42,0.049,5.4,0.7,107,,0.279692063,4.8,350,20130531_0127_OKRogers_KINX
1,32,152.1,0.43,0.197,28.2,3.1,201,0.21,1.03893537,16.2,4576,20130531_2203_OKCanadian_ktlx
1,19,63.2,0.47,0.075,12.9,1.2,127,0.2,0.670873483,5,150,20130531_2229_OKCanadian_ktlx
1,31,65.7,0.65,0.056,16.7,2.2,150,0.2,0.054424136,31.71,1760,20130531_2350_MOSt. Charles_klsx
1,11,21.9,0.74,0.016,12.4,0.9,115,0.67,1.272657889,1.47,150,20130601_0049_ILMacoupin_klsx
1,13,32.6,0.75,0.024,2.8,0.7,100,,0.170374764,12.41,200,20130601_0101_MOJefferson_KLSX
0,,24.3,1.41,0.01,,,70,,0.45226869,1.64,50,20130606_1513_FLSarasota_KTBW
1,14,28.2,0.83,0.019,3.1,0.7,85,,0.23869558,0.29,50,20130609_2336_TNFranklin_KHTX
1,29,51.5,0.3,0.095,17.5,1.3,135,0.3,0.357858747,13.9,325,20130610_1740_KYLogan_khpx
1,16,14.6,0.92,0.009,7.5,1.3,80,,0.640254918,0.87,150,20130610_2047_DENew Castle_KDOX
1,22,41.3,0.46,0.05,16.5,1.6,155,0.46,2.181512231,6.2,200,20130612_2008_IAWright_kdmx
0,,26.7,1.15,0.013,,,84,,0.912139956,1.11,50,20130612_2156_IAFranklin_KDMX
1,22,42.8,0.33,0.072,11.4,1.2,135,0.54,0.951786685,6.6,880,20130612_2253_ILCarroll_kdvn
1,13,44.7,0.53,0.047,8.2,1.3,115,0.65,0.961736746,5.2,350,20130619_2132_TXHockley_klbb
0,,44.7,0.96,0.026,,,60,,2.175487722,6.5,100,20130624_2008_IAMuscatine_KILX
1,9,45.2,1.04,0.024,4.7,0.8,131,0.53,0.472316706,6.65,300,20130627_0225_KYLarue_klvx
1,13,31.1,0.71,0.024,4.6,0.6,95,,0.335150555,1.58,100,20130710_0050_WIOconto_KGRB
1,9,20.4,0.71,0.016,5,0.9,88,,0.536057606,3.47,200,20130710_1728_INMiami_KIWX
1,23,53.5,0.6,0.05,16.9,1.6,120,0.29,1.733172734,21.09,400,20130722_0550_MNMahnomen_kmvx
1,14,27.2,0.54,0.028,14.1,1,111,0.38,0.662713898,13.07,175,20130807_0424_WIWaupaca_kgrb
1,5,34.5,0.61,0.031,4.3,0.4,105,,0.49431044,0.4,15,20130818_2341_GAHeard_KFFC
1,4,41.8,0.76,0.031,1.5,0.2,77,,0.319572122,1.6,420,20130828_0354_MILivingston_KDTX
1,27,51,0.37,0.077,7.8,1.1,120,0.31,0.953203216,15.27,300,20131004_0308_NELancaster_koax
1,13,36.9,0.85,0.024,20.5,1.8,120,0.46,3.552814944,6.64,264,20131004_2148_NEAntelope_koax
1,28,67.3,0.41,0.091,18.5,1.6,170,0.5,1.686271983,18.34,2429,20131004_2212_NEWayne_koax
1,8,63.2,0.43,0.082,12.5,1.3,155,0.51,3.023912857,6.43,590,20131004_2220_NEKnox_kfsd
1,22,58.3,0.48,0.067,11.3,1.3,130,0.53,1.20157659,26.56,264,20131004_2255_NEThurston_koax
1,37,72.9,0.44,0.092,27.3,1.5,170,0.47,1.849780008,24.7,2600,20131004_2235_IAWoodbury_koax
1,12,19.9,1.07,0.01,4.3,1.4,100,,0.628050612,2.99,50,20131031_0040_MONew Madrid_KPAH
1,13,31.1,1.09,0.016,5.4,0.7,93,,0.354214243,9.9,175,20131031_0051_ILWilliamson_KPAH
1,23,29.1,0.57,0.028,5.2,1,100,,0.2495126,7.62,200,20131031_0105_MOYazoo_KPAH
1,16,37.4,0.86,0.024,6.2,1.5,80,,0.110361352,0.22,70,20131031_0130_KYBallard_KPAH
1,10,42.3,0.27,0.087,2.6,0.7,100,,0.078432926,2.15,225,20131031_0139_KYMcCracken_KPAH
1,13,29.6,0.86,0.019,2.9,0.6,75,,0.164697612,0.98,40,20131031_0148_KYMcCracken_KPAH
1,9,19.7,0.61,0.018,3.3,1.2,85,,0.268489247,0.5,50,20131031_0203_KYMarshall_KPAH
1,9,41.8,0.58,0.04,1.8,0.5,75,,0.04168525,1.39,30,20131031_1530_LACalcasieu_KLCH
0,,21.9,0.95,0.013,,,60,,0.434902893,0.5,70,20131031_1641_LAAcadia_KLCH
1,19,44.7,0.97,0.026,6.8,1.8,115,0.22,1.583865955,1.93,100,20131031_2324_MOStoddard_kpah
1,11,23.3,1.7,0.008,8.8,1.9,94,,0.936915233,1.5,200,20131031_2350_MOBollinger_KPAH
1,14,40.8,0.79,0.029,11.3,1.3,90,,0.417090045,3.69,300,20131101_0037_ARCraighead_KNQA
1,16,20.4,1.13,0.01,8.1,1.1,85,,0.417615203,0.57,25,20131117_0337_TNLincoln_KHTX
1,5,47.2,0.35,0.075,4.8,0.4,124,0.21,0.668059614,2.26,100,20131117_1552_ILPeoria_kilx
1,57,86.9,0.39,0.165,38.6,1.6,190,0.21,0.691322521,46.36,880,20131117_1559_ILTazewell_kilx
1,21,78.2,0.5,0.087,20.8,3.3,166,0.21,1.7816458,10.59,200,20131117_1704_ILWashington_klsx
1,14,42.3,0.61,0.039,16.3,2.6,120,0.21,2.30845633,11.4,200,20131117_1722_ILFayette_kilx
1,20,60.9,0.41,0.083,12.6,1,122,0.31,0.520389802,12.02,200,20131117_1722_ILGrundy_klot
0,,30.1,0.96,0.017,,,50,,0.721212422,3.98,50,20131117_1730_ILMacoupin_KILX
1,9,52.5,0.53,0.055,4.1,0.6,125,0.23,0.261229041,5.21,200,20131117_1742_ILWill_klot
1,14,42.3,0.78,0.03,11.8,1.4,140,0.58,1.361979806,18.74,440,20131117_1744_ILDouglas_kilx
1,24,52.2,0.51,0.057,25.5,1.6,140,0.34,1.518695885,29.83,880,20131117_1745_ILChampaign_kilx
0,,29.6,1.52,0.011,,,100,,0.928077402,0.37,50,20131117_1747_ILClinton_KLSX
1,10,52.3,0.71,0.041,10.6,1.2,135,0.71,2.085142183,19.68,440,20131117_1803_ILVermilion_kilx
1,14,44.7,0.3,0.083,9.7,1.1,140,0.49,1.221082496,14.25,600,20131117_1807_MOScott_kpah
1,17,50,0.39,0.071,18.8,2.7,130,0.21,3.056237962,7.86,300,20131117_1829_ILWayne_kpah
1,10,51.5,0.57,0.05,9.8,1.3,100,,0.671432695,10.54,440,20131117_1830_ILMoultrie_KILX
1,13,56.4,0.49,0.064,13.7,2,130,0.21,1.394534969,12.73,75,20131117_1832_INFountain_kind
1,12,48.6,0.55,0.049,11.5,2.7,112,0.21,3.053770704,4.14,100,20131117_1833_ILEdwards_kpah
1,10,48.1,0.33,0.081,15.9,2.1,127,0.61,3.505470525,10.28,225,20131117_1844_ILWabash_kpah
1,4,39.3,0.42,0.052,9.7,0.5,122,0.62,1.251721549,3.1,75,20131117_1852_INTippecanoe_kind
1,20,44.7,0.44,0.056,7.9,1,136,0.49,1.215545279,37.91,100,20131117_1854_INTippecanoe_kind
1,16,58.5,0.3,0.108,18.7,2,132,0.32,3.013059695,8.81,100,20131117_1856_INKnox_klvx
1,60,57.8,0.25,0.128,14.2,1.4,145,0.21,0.093588725,42.5,500,20131117_2005_KYMcCracken_kpah
0,,21.9,2.19,0.006,,,85,,0.901760842,4.52,75,20131117_1919_ILIroquois_KLOT
1,10,47.1,0.41,0.064,6.4,0.7,130,0.73,1.212872529,0.48,75,20131117_1929_INHoward_kind
1,23,48.6,0.32,0.084,10.7,2.2,145,0.21,1.558414857,14.12,200,20131117_1941_KYUnion_kpah
1,8,35.5,0.32,0.062,5.4,0.6,125,0.59,1.321706587,11.75,700,20131117_1942_INGrant_kiwx
1,8,47.3,0.49,0.054,2,0.4,125,0.49,0.443104262,4.14,150,20131117_1943_INWabash_kiwx
1,17,38.9,1.09,0.02,7.5,1.3,80,,0.877614029,13.18,100,20131117_2003_INPulaski_KIWX
0,,31.6,1.25,0.014,,,110,,0.377920052,0.38,50,20131117_2027_MICass_KIWX
1,19,61.7,0.53,0.065,12.1,0.8,140,0.45,0.595070569,8.23,200,20131117_2032_KYHopkins_khpx
1,17,36,0.59,0.034,14.3,1.8,130,0.21,1.948340741,11.11,440,20131117_2052_OHPutnam_kiwx
0,,39.8,1.83,0.012,,,104,,0.498023088,3.16,200,20131117_2105_KYCaldwell_KHPX
1,5,52.5,0.43,0.068,1.6,0.4,73,,0.026155664,0.29,150,20131117_2127_MIOtsego_KAPX
1,5,44.7,0.87,0.029,7.1,0.6,110,,0.261376567,0.85,80,20131117_2150_KYMuhlenberg_KHPX
1,14,29.6,0.56,0.029,5.5,0.9,86,,0.217009292,0.97,100,20131118_0031_TNRobertson_KOHX
